MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
316013007,2017-01-02T06:46:48,44.23262,-76.47704,-0.1,-49.6,100.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T06:46:48,44.24347000000001,-76.44145,-0.1,-49.6,190.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T07:42:28,44.21533,-76.42606,-0.1,-49.6,116.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T07:42:28,44.192490000000014,-76.45873999999999,-0.1,-49.6,206.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T09:00:19,44.21535,-76.42606,-0.1,-49.6,115.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T09:00:19,44.192490000000014,-76.45872,-0.1,-49.6,205.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T10:04:30,44.21535,-76.42605,-0.1,-49.6,115.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T10:04:30,44.19248000000001,-76.45872,-0.1,-49.6,205.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T10:55:18,44.22151,-76.46157,-0.1,-49.6,99.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T10:55:18,44.228,-76.45255999999999,-0.1,-49.6,189.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T12:06:47,44.23262,-76.47704,-0.1,-49.6,100.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T12:06:47,44.24347000000001,-76.44145,-0.1,-49.6,190.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T13:06:19,44.23261,-76.47704,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T13:06:19,44.24347000000001,-76.44145999999999,-0.1,-49.6,191.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T13:43:33,44.21803,-76.44347,-0.1,-49.6,98.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T13:43:33,44.20990000000001,-76.45604,-0.1,-49.6,188.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T14:13:26,44.22289,-76.47143,-0.1,-49.6,127.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T14:13:26,44.237860000000005,-76.45118,-0.1,-49.6,217.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T16:30:18,44.23262,-76.47703,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T16:30:18,44.243460000000006,-76.44145,-0.1,-49.6,191.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T17:46:06,44.21644,-76.43216,-0.1,-49.6,99.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T17:46:06,44.19859,-76.45763,-0.1,-49.6,189.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T19:06:33,44.22264,-76.47055,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T19:06:33,44.23698000000001,-76.45142999999999,-0.1,-49.6,191.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T20:31:51,44.21658,-76.43104,-0.1,-49.6,108.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T20:31:51,44.19747,-76.45748999999999,-0.1,-49.6,198.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T21:05:37,44.22251,-76.46974,-0.1,-49.6,103.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T21:05:37,44.23617000000001,-76.45156,-0.1,-49.6,193.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T22:12:06,44.21782,-76.44415,-0.1,-49.6,95.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T22:12:06,44.21058,-76.45624999999998,-0.1,-49.6,185.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-02T23:49:35,44.23262,-76.47705,-0.1,-49.6,100.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-02T23:49:35,44.24348000000001,-76.44145,-0.1,-49.6,190.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
